,LIC_1,LIC_3,LIC_31,LIC_35,LIC_37,LIF_22,LIF_24,LIF_26,LIF_28,LIF_30
Hnrnpl,67.987297,65.341194,87.877533,75.445076,88.872108,105.336723,102.910294,95.115532,95.051704,84.012444
Hnrnpll,8.878202,7.669777,13.236028,9.554975,11.296071,12.95801,12.488461,8.598547,12.544381,9.678681
Hnrnpm,18.342491,25.56275,70.147614,75.131035,63.614101,83.30484,77.490303,69.914764,69.721855,62.863834
Hnrnpr,1.575935,1.329678,5.992068,3.302225,3.097895,7.949428,6.255294,3.968689,4.662382,2.258289
Hnrnpu,44.193233,34.595295,60.792603,63.614334,61.532692,86.78817,66.554832,64.78756,69.106483,56.638313
Hnrnpul1,10.091984,7.083107,23.431061,15.13042,16.420273,31.040941,25.515026,18.942141,24.345839,16.278473
Hnrnpul2,8.081182,9.755953,24.847477,16.859953,18.039824,36.837883,23.714703,20.92276,26.073391,16.437757
Hoatz,0,0,0,0,0,0,0,0,0,0
Hoga1,84.612206,113.094276,246.428925,132.094131,103.414436,165.230362,184.559998,144.949158,139.622421,132.559097
Homer1,4.013887,2.7875,3.409382,3.852888,3.358471,3.295094,3.49152,3.311904,7.497923,3.754801
Homer2,5.952535,1.433343,3.347633,2.522029,2.781101,4.152371,4.020499,3.77846,4.213486,5.113982
Homer3,9.849038,9.74398,6.476439,10.397912,12.191594,13.04253,13.081372,16.238655,11.526624,16.273186
Homez,1.21966,1.270846,3.975605,1.111464,1.889157,3.602752,2.354277,1.747925,1.713137,1.401622
Hook1,5.122038,3.804994,8.658343,6.337434,6.526792,10.244344,7.215964,5.229209,8.268296,5.642302
Hook2,6.954014,2.829335,4.944959,6.450386,7.110418,6.271042,4.262139,6.208757,6.791696,5.327328
Hook3,2.692003,2.89673,2.732533,2.835152,3.642466,4.985875,3.862155,3.035287,3.56665,2.099213
Hopx,0.519639,1.493464,0.591946,1.225761,1.138972,1.633677,0.559791,3.293176,1.851633,1.54154
Hormad1,0.03025,0,0,0,0,0,0,0,0,0
Hormad2,0.089819,0.249179,0,0.042186,0.312733,0.293378,0,0.361893,0.289578,0.394577
Hotairm1,0.639297,0.097596,0,0.15261,2.039616,0.901148,0,0.14058,0.872794,1.860947
Hoxa1,0.141558,0,0,0.156432,0.249664,0.574916,0.275462,0.28655,0,0.115006
Hoxa10,0,0.033759,0.056938,0.054348,0.109755,0.196436,0.060174,0.124776,0,0
Hoxa11,0,0,0,0,0,0,0,0,0,0
Hoxa11-as,0,0,0,0,0,0,0,0,0,0
Hoxa13,0,0,0,0,0,0,0,0,0,0
Hoxa2,0.870141,0.376623,0.350954,0.577194,1.16465,0.944188,0.896677,1.289344,2.273131,1.013443
Hoxa3,0.422816,0.28024,0.480596,0.295588,0.741671,0.869251,0.697699,0.804523,0.702451,0.678927
Hoxa4,0.238238,1.181733,0.967786,0.810916,1.034845,0.563739,1.35111,0.590268,2.268791,1.272123
Hoxa5,0.043342,0,0.160134,0.177852,0.266937,0.285026,0.663289,0.231394,0.321979,0.183608
Hoxa6,0,0,0,0,0,0,0,0.078462,0,0
Hoxa7,0,0,0,0,0,0,0,0,0.591632,0
Hoxa9,0,0,0,0,0,0,0,0,0,0.063049
Hoxaas3,0,0,0,0,0,0,0,0,0,0
Hoxb1,0,0,0,0,0,0,0,0,0,0
Hoxb13,0,0,0,0,0,0,0,0,0,0
Hoxb2,0.406972,0.891132,1.919413,1.682737,3.862106,2.682701,1.113222,1.387642,3.124794,3.181009
Hoxb3,0.320101,0.111271,0.409467,0.500305,1.294743,0.930542,1.836524,1.568338,2.576417,1.132928
Hoxb4,1.306749,1.032707,0.882862,1.139776,2.176291,1.683007,2.055293,2.709605,2.829402,2.329578
Hoxb5,0.464311,0.258304,0.910136,0.86783,0.734542,1.623179,1.237383,1.581349,0.718212,1.341706
Hoxb5os,0,0,0.26698,0,0,0,0,0,0,0
Hoxb6,0.083283,0.121857,0,0.397033,0.586885,0.119117,0.519259,0.489687,0.440145,0.500715
Hoxb7,0,0.109569,0,0,0,0,0.112918,0.100035,0,0.3438
Hoxb8,0,0,0,0,0,0,0,0,0,0
Hoxb9,0,0,0,0,0,0,0,0,0,0
Hoxc10,0,0,0,0,0,0,0,0,0,0
Hoxc11,0,0,0,0,0,0,0,0,0,0
Hoxc12,0,0,0,0,0,0,0,0,0,0
Hoxc13,0,0,0,0,0,0,0,0,0,0
Hoxc4,0.029395,0,0,0,0,0,0,0,0,0
Hoxc5,0,0,0,0,0,0,0,0,0,0
Hoxc6,0,0,0,0,0,0,0,0,0,0
Hoxc8,0,0,0,0,0,0,0,0,0,0
Hoxc9,0,0,0,0,0,0,0,0,0,0
Hoxd1,0,0,0,0,0,0,0,0,0,0
Hoxd10,0,0,0,0,0,0,0,0,0,0
Hoxd11,0,0,0,0,0,0,0,0,0,0
Hoxd12,0,0,0,0,0,0,0,0,0,0
Hoxd13,0,0,0,0,0,0,0,0,0,0
Hoxd3,0.089205,0,0,0,0,0,0,0,0,0
Hoxd4,0,0,0,0,0,0,0,0,0,0
Hoxd8,0.044742,0,0,0,0,0,0,0,0.063924,0
Hoxd9,0,0.087708,0,0,0,0,0,0,0,0
Hp,7709.395508,8870.871094,6680.746094,9612.574219,8172.839355,9126.597656,7395.994141,9471.685547,8068.918945,7570.380859
Hp1bp3,19.781141,16.669891,27.249969,19.755259,26.693361,37.597645,36.142769,33.310295,33.13509,26.321939
Hpca,0,0.115269,0,0,0,0,0,0,0,0
Hpcal1,1.617327,1.356437,3.627549,4.155756,6.062814,5.855822,4.206557,6.836608,6.481952,4.9108
Hpcal4,0,0,0,0,0,0,0,0,0,0
Hpd,2094.673584,2253.114746,2903.389893,2937.191895,1562.488525,2279.502686,2902.251953,3092.826172,3492.172607,2519.395508
Hpdl,0,0,0,0.243294,0.064528,0,0,0.19652,0.101318,0.269837
Hpf1,11.022658,9.575398,7.331145,11.27455,9.907148,5.980863,7.946901,8.788645,7.484977,8.901076
Hpgd,0.15605,0.320692,0.907067,0.611941,0.80947,0.64274,1.66853,0.819879,0.28218,0.248085
Hpgds,1.286462,1.698702,2.701733,2.543938,2.21006,4.05057,2.1069,3.421509,4.068954,1.850207
Hpn,241.473145,242.613205,431.326447,386.497009,289.143768,418.099182,386.288696,401.550964,487.700531,356.578247
