,LIC_1,LIC_3,LIC_31,LIC_35,LIC_37,LIF_22,LIF_24,LIF_26,LIF_28,LIF_30
LOC108348860,0,0,0,0,0,0,0,0,0,0
LOC108348868,0,0,0,0,0,0,0,0,0,0
LOC108348870,0,0,0,0,0,0,0,0,0,0
LOC108348875,0,0,0,0,0,0,0,0,0,0
LOC108348882,0,0,0,0,0,0,0,0,0,0
LOC108348888,0,0,0,0,0,0,0,0,0,0
LOC108348893,0.453385,0,0.108732,0,0.705251,0.190818,0,0.22838,0,0.333138
LOC108348898,0,0.166121,0,0,0.139292,0.242274,0.119668,0.179654,0.139916,0.212409
LOC108348899,0,0,0,0,0,0,0,0,0,0
LOC108348901,0,0,0,0,0.039605,0,0,0,0,0
LOC108348902,0,0,0,0,0,0,0,0,0,0
LOC108348906,0.372691,0.542967,0.233334,0.391508,0.400739,0.774884,0.74894,0.755286,0.577636,0.54447
LOC108348917,0,0,0,0,0,0,0,0,0,0
LOC108348918,0,0,0,0,0,0,0,0,0,0
LOC108348923,0,0,0,0,0,0,0,0,0,0
LOC108348930,0,0,0,0,0,0,0,0,0,0
LOC108348937,0.264706,0,0,0,0,0,0,0,0,0
LOC108348942,0,0,0,0,0,0,0,0,0,0
LOC108348945,0,0,0,0,0,0,0,0,0,0
LOC108348948,0,0,0,0,0.040992,0.118358,0,0.204906,0,0.213952
LOC108348955,0,0,0,0,0,0,0,0,0,0
LOC108348960,0,0,0,0,0,0,0,0,0,0
LOC108348963,0,0,0,0,0,0,0,0,0,0
LOC108348964,0,0,0,0,0,0,0,0,0,0
LOC108348965,0.090472,0,0,0,0,0,0,0,0,0
LOC108348969,0,0,0,0,0,0,0,0,0,0
LOC108348970,0,0,0,0,0,0,0,0,0,0
LOC108348974,0,0,0,0,0,0,0,0,0,0
LOC108348977,0,0,0,0.026252,0,0.068427,0,0,0.030866,0
LOC108348980,0,0,0,0,0.250684,0,0.31382,0.425557,0,0
LOC108348984,0,0,0,0,0,0,0,0,0,0
LOC108348987,0,0,0,0,0,0,0,0,0,0.019587
LOC108348989,0.081115,0.341865,0.343348,0.376231,0.30562,0.238387,0.171645,0.51573,0.544956,0.269553
LOC108348999,0,0.055756,0.056393,0,0.020635,0.414473,0.270237,0,0.10258,0.026074
LOC108349006,0,0,0,0,0,0,0,0,0,0
LOC108349007,0,0,0,0,0,0,0,0,0,0
LOC108349009,0,0,0,0,0,0,0,0,0,0
LOC108349017,0.040174,0,0,0,0.352839,0,0,0,0.350993,0.138878
LOC108349024,0,0,0,0,0,0,0,0,0,0
LOC108349026,0,0,0,0,0,0,0,0,0,0
LOC108349027,0.281804,0.258062,0.104654,0,0.290781,0.913622,0.413702,0.557055,0.23629,0.424842
LOC108349032,0.318747,0.072611,0.070241,0.07213,0.612726,0.500055,0.418182,0.149314,0.368538,0.394099
LOC108349035,0,0,0,0,0,0,0,0,0,0
LOC108349039,0,0,0,0,0,0,0,0,0,0
LOC108349043,0,0.044969,0,0,0,0,0,0,0,0
LOC108349045,0,0.026838,0,0,0,0.213393,0,0,0,0
LOC108349047,0,0,0,0.102795,0.55151,0,0.495932,0.269202,0.106616,0.12627
LOC108349051,0,0,0,0,0,0,0,0,0,0
LOC108349052,0,0,0,0,0,0,0,0,0,0
LOC108349057,0,0,0,0,0,0,0,0,0,0
LOC108349058,0,0,0,0,0,0,0,0,0,0
LOC108349059,0,0,0,0,0,0,0,0,0,0
LOC108349062,0,0.054732,0,0,0,0,0,0,0,0.244654
LOC108349068,0,0,0,0,0,0,0,0,0,0
LOC108349071,0,0,0,0,0,0,0,0,0,0
LOC108349074,0,0,0,0,0,0,0,0,0,0
LOC108349075,0,0,0,0,0,0,0,0,0,0
LOC108349077,0,0,0,0,0,0,0,0,0,0
LOC108349079,0,0,0,0,0,0,0,0,0,0
LOC108349081,0,0,0,0,0,0,0,0,0,0
LOC108349084,0.28208,0.620706,0.266032,0,0.159636,0.301965,0,0.393372,0.342401,0.60355
LOC108349085,0,0,0,0,0,0,0.155941,0,0,0
LOC108349099,0,0,0,0,0,0,0,0,0,0
LOC108349100,0,0,0,0,0,0,0,0,0,0
LOC108349102,0,0,0,0,0,0,0,0,0,0
LOC108349103,0,0,0,0,0,0,0,0,0,0
LOC108349162,0,0,0,0,0,0,0,0,0,0
LOC108349164,0,0,0.400424,0,0,0,0,0,0,0
LOC108349165,0,0,0,0,0,0,0,0,0,0
LOC108349172,0,0,0,0,0,0,0,0,0,0
LOC108349187,0,0,0,0,0,0,0,0,0,0
LOC108349189,2.24466,1.99031,3.838953,4.822968,5.250067,3.437888,4.892675,3.922081,5.568071,4.14422
LOC108349194,0,0,0,0,0,0,0,0,0,0
LOC108349205,0,0,0,0,0,0,0,0,0,0
LOC108349212,0,0,0,0,0,0,0,0,0,0
LOC108349214,0,0,0,0,0,0,0,0,0,0
LOC108349225,0.057262,0.042945,0,0.108563,0,0,0.064204,0.098714,0.099365,0
LOC108349234,0,0,0,0,0,0.121552,0,0.223181,0.104438,0.070426
LOC108349236,0,0,0,0,0,0,0,0,0,0
LOC108349237,0,0,0,0,0,0,0,0.054803,0,0
LOC108349241,0.798757,0.504192,1.32173,2.457127,1.560169,0.793857,3.870754,2.616984,3.013493,2.146434
LOC108349242,0,0,0,0,0,0,0,0,0,0
LOC108349244,0.404375,0.595428,0.364472,0.526507,0.692935,0.507887,1.093461,0.566187,0.538396,1.019547
LOC108349247,0,0,0,0,0,0,0,0,0,0
LOC108349258,0,0,0,0,0,0,0,0,0,0
LOC108349259,0,0,0,0,0,0,0,0,0,0
LOC108349260,0,0,0,0,0,0,0,0,0,0
LOC108349283,0,0,0.837683,0,0.161358,0,0,0,0,1.77097
LOC108349347,0,0,0,0,0,0,0,0,0,0
LOC108349392,0,0,0,0,0,0,0,0,0,0
LOC108349434,0,0,0,0,0,0,0,0,0,0
LOC108349443,0.158986,0.41223,0.187376,0.293251,0.097177,0.198827,0,0.238192,0.142253,0
LOC108349446,0.341524,1.697233,0.292553,1.920675,0.23463,0.923121,0.534577,1.694193,0.88999,0.867471
LOC108349447,1.08507,0.955153,1.887645,0.724409,1.994356,0.626938,2.355661,2.078508,1.434381,1.316012
LOC108349449,0,0,0,0,0.012642,0,0,0,0,0
LOC108349450,0.076695,0,0,0,0.358655,0,0,0,0,0.308631
LOC108349453,0,0.222836,0,0,0,0,0,0,0,0
LOC108349455,0,0,0,0,0,0,0,0,0,0
LOC108349461,0,0,0,0,0,0,0,0,0,0
LOC108349463,0,0,0,0,0,0,0,0,0,0
LOC108349465,0.440791,0.886253,0.180098,1.052406,0.071532,0.439618,0,0.373633,0.744512,0
LOC108349467,0,0,0,0,0,0,0,0,0,0
LOC108349468,0,0.007091,0,0,0.008616,0.014878,0.026263,0,0.026398,0
LOC108349469,0.016922,0,0,0,0,0,0,0,0.042697,0
LOC108349471,0,0.127076,0.244315,0.200434,0.249851,0.059429,0.263074,0.235396,0.228756,0.334229
LOC108349475,0,0,0,0,0,0,0,0,0.061559,0
LOC108349479,0,0.066711,0.078284,0.135976,0,0.092696,0,0,0,0
LOC108349487,0,0,0,0,0,0,0,0,0,0
LOC108349488,0,0,0,0,0,0,0,0,0,0
LOC108349489,0,0,0,0,0,0,0,0,0,0
LOC108349492,0,0,0,0,0,0,0,0,0,0
LOC108349493,0,0,0,0,0,0,0,0,0,0
LOC108349494,0,0,0,0,0,0,0,0,0,0
LOC108349497,0,0.012283,0,0.017213,0,0,0,0,0,0
LOC108349499,0,0,0,0,0,0,0,0,0,0
LOC108349507,0,0,0,0,0,0,0,0,0,0
LOC108349508,0,0,0,0,0,0,0,0,0,0
LOC108349512,0.367163,0.009679,0,0,0,0.117097,0.025134,0,0.006407,0
LOC108349515,0,0,0.150077,0,0,0,0.52009,0.213325,0,0
LOC108349518,0,0,0,0,0,0,0,0,0,0
LOC108349524,0,0,0,0,0,0,0,0,0,0
LOC108349526,1.466621,0.400347,0.845444,0.89333,1.493916,1.49561,2.618673,2.665643,2.405818,2.020465
LOC108349528,0,0,0,0,0,0,0,0,0,0
LOC108349532,1.40334,0.752788,1.534812,2.189073,2.26577,1.182209,1.253851,2.196308,2.653538,2.192358
LOC108349540,0,0,0,0,0,0,0,0,0,0
LOC108349549,0,0,0,0,0,0,0,0,0,0
LOC108349556,0,0,0,0,0,0,0,0,0,0
LOC108349559,0,0.236004,0.250265,0,0.526624,0,0,0.24288,1.022136,0.124863
LOC108349560,0,0,0,0,0,0,0,0,0,0
LOC108349563,0,0,0,0,0,0,0,0,0,0
LOC108349564,0.121421,0.021984,0,0,0.140707,0.098088,0.274425,0.152082,0.187057,0.27715
LOC108349566,0,0,0,0,0,0,0,0,0,0
LOC108349567,0,0,0,0,0,0,0,0,0,0
LOC108349570,0,0,0,0,0,0,0,0,0,0
LOC108349578,0,0,0,0,0,0,0,0.019688,0,0
LOC108349586,0,0,0,0,0,0.107953,0.073432,0,0,0
LOC108349597,0.245948,0,0,0,0,0,0,0,0,0
LOC108349612,0,0,0,0,0,0,0,0,0,0
LOC108349625,0,0,0,0,0,0,0,0,0,0
LOC108349628,0.01063,0.017203,0.009939,0.034889,0.076337,0.028238,0.110812,0.081564,0.168085,0.063955
LOC108349630,0,0,0,0,0,0,0,0,0,0
LOC108349639,0,0,0,0,0,0,0,0,0,0
LOC108349640,0,0,0,0,0,0,0,0,0,0
LOC108349642,0,0,0,0,0,0,0,0.17882,0,0
LOC108349643,0.044177,0.042119,0.086929,0.038906,0.116738,0.558916,0.137401,0.364752,0.237963,0.373563
LOC108349644,0,0,0,0,0,0,0,0,0,0
LOC108349648,0.070541,0.030511,0,0.106918,1.668986,0.13611,0.627986,0.087042,0.230068,0.049172
LOC108349652,0,0,0,0,0,0,0,0,0,0
LOC108349659,0,0,0,0,0,0,0,0,0,0
LOC108349660,0,0,0,0,0,0,0,0,0,0
LOC108349665,0,0,0,0,0,0,0,0,0,0
LOC108349671,0,0,0,0,0,0,0,0,0,0
LOC108349673,0,0,0,0,0,0,0,0,0,0
LOC108349678,0,0,0,0,0,0,0,0,0,0
LOC108349679,0.005803,0,0,0,0,0,0,0.006471,0,0
LOC108349685,0,0.042466,0.098969,0,0,0,0,0,0,0
LOC108349688,0,0.03392,0.080453,0.04642,0.018758,0,0.214888,0.068905,0.161854,0.038222
LOC108349691,0.18068,0.081543,0.624683,1.486082,1.129553,1.972472,0.117658,0.721437,0.495874,0.566275
LOC108349708,0,0,0,0,0,0,0,0,0,0
LOC108349710,0.104236,0,0,0,0,0,0,0,0,0
LOC108349711,0,0,0,0,0,0,0,0,0,0
LOC108349715,0,0,0,0,0,0,0,0,0,0
LOC108349720,0.061352,0,0.173024,0,0,0.035679,0,0,0.037731,0
LOC108349721,1.793067,2.706354,1.689337,3.493395,3.296172,0.803669,0,1.832428,1.015852,1.417657
LOC108349732,0,0,0,0,0,0,0,0,0,0
LOC108349752,0,0,0,0,0,0,0,0,0,0
LOC108349756,0,0,0,0,0,0,0,0,0,0
LOC108349762,0,0,0,0,0,0,0,0,0,0
LOC108349768,0,0,0,0,0,0,0,0,0,0
LOC108349779,0,0,0,0,0,0,0,0,0,0
LOC108349783,0,0,0,0,0,0,0,0,0,0
LOC108349792,0,0,0,0,0,0,0,0,0,0
LOC108349814,0,0,0,0,0.241148,0,0,0,0,0
LOC108349823,0,0,0,0,0,0,0,0,0,0
LOC108349828,0,0,0,0,0,0,0,0,0,0
LOC108349831,2.341655,3.077003,1.9406,3.361673,1.033671,0.415075,0.360396,0.65282,0.194656,0.922298
LOC108349848,0,0.15361,0,0.134838,0,0.892756,0,0,0,0.455655
LOC108349908,0,0,0,0,0,0,0,0,0,0
LOC108349914,0,0,0,0,0,0,0,0,0,0
LOC108349915,0,0,0,0,0,0,0,0,0,0
LOC108349917,0,0,0,0,0,0,0,0,0,0
LOC108349921,0,0,0,0,0,0,0,0,0,0
LOC108349922,0,0,0,0,0,0,0,0,0,0
LOC108349927,0,0,0,0,0,0,0,0,0,0
LOC108349932,0.020418,0,0.01019,0,0,0,0,0,0.027636,0
LOC108349935,0,0,0,0,0,0,0,0,0,0
LOC108349939,0,0,0,0,0,0,0,0,0,0
LOC108349941,0,0,0,0,0,0,0,0,0,0
LOC108349942,0,0,0,0,0,0,0,0,0,0
LOC108349943,0,0,0,0,0,0,0,0,0,0
LOC108349945,0,0,0,0,0,0,0,0,0,0
LOC108349948,0,0,0,0,0,0,0,0,0,0
LOC108349957,0,0,0,0,0,0,0,0,0,0
LOC108349962,0,0,0,0,0,0,0,0,0,0
LOC108349968,0,0.009476,0,0,0,0.018126,0.037428,0.032065,0.042289,0
LOC108349973,0.748758,0.814348,1.598569,1.342612,1.800568,2.337513,1.957612,0.617587,1.895452,1.651739
LOC108349981,0,0,0,0,0,0,0,0,0,0
LOC108349983,0,0,0,0,0,0,0,0,0,0
LOC108349988,0,0,0,0,0,0,0,0,0,0
LOC108349992,0,0,0,0,0,0,0,0,0,0
LOC108349993,0,0,0,0,0,0,0,0,0,0
LOC108350009,0,0,0,0,0,0,0,0,0,0
LOC108350015,0,0,0.102637,0,0,0,0,0,0,0
LOC108350022,0,0,0,0,0,0,0,0,0,0.015694
LOC108350028,0.159588,0.098382,0,0,0.110687,0.310035,0.314808,0.122968,0.1501,0.24598
LOC108350029,0,0,0.077654,0,0,0.123665,0.039473,0.014922,0.138382,0.028778
LOC108350036,0,0,0,0,0,0,0,0,0,0
LOC108350038,0,0,0,0,0,0,0,0,0,0
LOC108350043,0,0,0,0,0,0,0,0,0,0
LOC108350048,0,0,0,0,0,0,0,0,0,0
LOC108350049,0,0,0,0,0,0,0,0,0,0
LOC108350051,0,0,0,0,0,0,0,0,0,0
LOC108350053,0,0,0,0,0,0,0,0,0,0
LOC108350055,0,0.069237,0,0.035701,0.127287,0.054524,0,0.044183,0.040992,0.01238
LOC108350066,0.0029,0,0.168656,0.267261,0.106945,0.089881,0.282533,0.055277,0.134266,0.054096
LOC108350069,0.104562,0,0,0,0,0,0,0,0.097761,0
LOC108350070,0,0,0,0,0,0,0,0,0,0
LOC108350077,0,0,0,0,0,0,0,0,0,0
LOC108350079,0,0,0,0,0,0,0,0,0,0
LOC108350080,0,0,0,0,0,0,0,0,0,0
LOC108350082,0.547449,0.600724,0.006191,0.156099,0.507044,0.050234,0.426294,0.533125,0.420948,0.313543
LOC108350083,0,0,0,0,0,0,0,0,0,0
LOC108350087,0,0,0,0,0,0,0,0,0,0
LOC108350091,0,0.002762,0,0,0,0,0,0,0,0.130833
LOC108350092,0,0,0,0,0,0,0,0,0,0
LOC108350093,0,0,0,0,0.01975,0,0,0,0,0
LOC108350096,0,0,0,0,0,0,0,0,0,0
LOC108350099,0.064913,0.127601,0,0.106218,0.035593,0,0.025688,0,0.165352,0
LOC108350100,0,0,0,0,0,0,0,0,0.402814,0
LOC108350102,0,0.048755,0,0.151149,0,0,0,0,0,0
LOC108350105,0,0,0,0,0,0,0,0,0,0
LOC108350107,0,0,0,0,0,0.084203,0,0,0,0
LOC108350108,0,0,0,0,0,0,0,0,0,0
LOC108350109,0,0,0,0,0,0,0,0,0.129621,0
LOC108350121,0,0,0,0,0,0,0,0,0,0
LOC108350122,0,0,0,0,0,0,0,0,0,0
LOC108350123,30.660835,12.834249,6.877184,12.951348,10.586605,9.518567,31.957584,16.252676,21.025011,18.667173
LOC108350125,0.342291,0.24786,0.898283,0.541395,1.019028,1.055707,0.557795,2.547341,1.275721,0.543412
LOC108350126,0,0,0,0,0,0,0,0,0,0
LOC108350128,0,0,0,0,0,0,0,0,0,0
LOC108350138,0,0,0,0,0,0,0,0,0,0
LOC108350139,0,0,0,0,0,0,0,0,0,0
LOC108350149,0,0,0,0,0,0,0,0,0,0
LOC108350175,0.308673,0.203121,0.526866,0.358867,0.61459,0.511974,0.50068,0.475441,0.47279,0.30749
LOC108350184,0,0,0,0,0,0,0,0,0,0
LOC108350208,0,0,0,0,0,0,0,0,0,0
LOC108350210,0.122867,0.102204,0.495422,0.087033,0.181512,0.474179,0.425854,0.215937,0.228528,0.112409
LOC108350211,0,0,0,0,0,0,0,0,0,0
LOC108350212,0,0,0,0,0,0,0,0,0,0
LOC108350222,0,0,0,0,0,0,0,0,0,0
LOC108350223,0,0,0,0,0,0,0,0,0,0
LOC108350224,0,0,0,0,0,0,0,0,0,0
LOC108350231,0,0,0,0,0,0,0,0,0,0
LOC108350232,0,0,0,0,0,0,0,0,0,0
LOC108350240,0,0,0,0,0,0,0,0,0,0
LOC108350241,0,0,0,0,0,0,0,0,0,0
LOC108350243,0,0,0,0,0,0,0,0,0,0
LOC108350245,0,0.411917,0.178274,0,0,0,0,0,0,0
LOC108350274,0,0,0,0,0,0,0,0,0,0
LOC108350276,0,0,0,0,0,0,0,0,0,0
LOC108350286,0,0,0,0,0,0,0,0,0,0
LOC108350287,1.717594,1.401779,0.861609,1.489931,0.857292,0.962391,0.953317,1.078866,1.468916,1.660023
LOC108350289,0,0,0,0,0,0,0,0,0,0
LOC108350290,0,0,0,0,0,0,0,0,0,0
LOC108350291,0,0,0,0,0,0,0,0,0,0
LOC108350293,0,0,0,0,0,0,0,0,0,0
LOC108350340,0.447053,0.199463,0.413058,0.226538,0.406669,0.703896,0.52682,0.708359,0.533681,1.168458
LOC108350341,0,0.154046,0,0,0.065752,0.181961,0,0.079393,0,0.153105
LOC108350345,0,0,0,0.176418,0,0,0,0,0.22857,0
LOC108350352,0,0,0,0,0,0,0,0,0,0
LOC108350353,0,0,0,0,0,0,0.01251,0,0,0
LOC108350355,0,0,0,0,0,0,0,0,0,0
LOC108350358,0,0,0,0,0,0,0,0,0,0
LOC108350364,0,0,0,0,0,0,0,0,0,0
LOC108350365,0,0,0,0.004492,0.004147,0.192745,0.450917,0.002782,0,0
LOC108350366,0,0,0,0,0,0,0,0,0,0
LOC108350367,0,0,0,0,0,0,0,0,0,0
LOC108350369,0,0,0,0,0,0,0,0,0,0
LOC108350370,0,0,0,0,0,0,0,0,0,0
LOC108350372,0,0,0,0,0,0,0,0,0,0
LOC108350373,0,0,0,0,0,0,0,0,0,0
LOC108350374,0,0,0,0,0,0,0,0,0,0
LOC108350379,0,0,0,0,0,0,0,0,0,0
LOC108350383,0,0,0,0,0,0,0,0,0,0
LOC108350387,0,0,0,0,0,0,0,0,0,0
LOC108350389,0.219741,0.15176,0,0.080185,0,0.2302,0.463214,0,0,0
LOC108350390,0,0,0,0,0,0,0,0,0,0
LOC108350392,0,0,0,0,0,0,0,0,0,0
LOC108350393,0.013311,3.30783,0,0.112106,1.269889,0.390259,0,0.293016,0,0.115718
LOC108350396,0,0,0,0,0,0,0,0,0,0
LOC108350397,0,0,0,0,0,0,0,0,0,0
LOC108350398,0,0,0,0,1.260925,1.3408,0,1.244532,0,0
LOC108350401,0,0,0,0,0,0,0,0,0,0
LOC108350412,0,0,0,0,0,0,0,0,0,0
LOC108350414,0,0,0,0,0.15996,0,0,0,0,0.197164
LOC108350417,0,0,0,0,0,0,0,0,0,0
LOC108350422,0,0,0,0,0,0,0,0,0,0
LOC108350426,0,0,0,0,0,0.241966,0,0,0,0
LOC108350427,0.493757,0.186198,0.156169,0.101073,0.326845,0,0.193341,0.173001,0.141119,0
LOC108350445,0.133835,0,0,0,0.017882,0.20103,0.18171,0.056946,0.126645,0.260458
LOC108350448,0,0,0,0.114795,0,0,0.218164,0.334488,0.126696,0
LOC108350455,0,0,0,0,0,0,0,0.167684,0,0
LOC108350458,0,0,0,0,0,0,0,0,0,0
LOC108350459,0,0,0,0,0,0,0,0,0,0
LOC108350462,0,0,0,0,0,0,0,0,0,0.175054
LOC108350469,0,0,0,0,0,0,0,0,0,0
LOC108350472,0,0,0,0,0,0,0,0,0,0
LOC108350474,0,0,0,0,0,0,0,0,0,0
LOC108350484,0.177486,0,0,0,0.28101,0.102746,0.361605,0.049689,0,0.17941
LOC108350486,0,0,0,0,0,0,0,0,0,0
LOC108350487,0,0,0,0,0,0,0,0.301669,0,0
LOC108350489,0,0,0,0,0,0,0,0,0,0
LOC108350490,0,0,0,0,0,0,0,0,0,0
LOC108350499,0,0,0,0,0,0,0,0,0,0
LOC108350502,8.928308,25.159746,25.72571,34.60836,15.698735,17.240709,29.575338,23.479992,25.485117,22.805239
LOC108350503,0,0,0,0,0.057559,0,0,0,0,0
LOC108350508,0.204429,0.612332,0.415215,1.041343,0.994812,1.15112,0.527476,0.501418,0.574031,1.100963
LOC108350509,0.095797,0,0,0,0,0,0,0,0,0
LOC108350510,0,0,0,0,0,0,0,0,0,0
LOC108350515,0,0,0,0,0,0,0,0,0,0
LOC108350520,0,0,0,0,0,0,0,0,0,0
LOC108350521,0,0,0,0,0,0,0.257461,0,0,0
LOC108350523,0.995913,0.234276,0.593008,0.253859,0.720118,0.671566,1.279369,1.423218,1.33715,0.969348
LOC108350529,0,0,0,0,0,0,0,0,0,0
LOC108350530,0,0,0,0,0,0,0,0,0,0
LOC108350531,0.032526,0,0,0,0.107569,0,0,0.166788,0,0
LOC108350532,0,1.220931,0,0,0,0.32261,0,0,0,0.486143
LOC108350533,0,0,0,0,0,0.072917,0,0,0,0
LOC108350535,0,0,0,0,0,0,0,0,0.037517,0.069159
LOC108350538,0.021386,0,0,0,0.031351,0,0,0.010667,0,0
LOC108350541,0,1.235207,0,0,0,0,0,0,0,0
LOC108350542,0.573028,0.489287,0,1.13861,0.415061,0.404141,1.217415,0.930686,0.622745,0.688267
LOC108350561,0.038261,0.034275,1.755589,0.475185,0.621998,1.719539,1.318876,0.934405,1.168721,1.249407
LOC108350574,0,0,0,0,0,0,0,0,0,0
LOC108350578,0,0,0.038511,0.058188,0,0,0,0,0,0.131648
LOC108350580,0,0,0,0,0.150856,0,0,0,0,0
LOC108350585,0,0,0,0,0,0,0,0,0,0
LOC108350588,0,0,0,0.205818,0.351866,0.40624,0,0.080466,0.357288,0.296636
LOC108350592,0,0,0,0,0,0,0,0,0,0
LOC108350593,0,0,0,0,0,0,0,0,0,0
LOC108350599,0,0,0,0,0,0,0,0,0,0
LOC108350600,0.531654,0,0,0,0,0,0,0,0,0.660156
LOC108350601,0,0,0,0,0,0,0,0,0,0
LOC108350618,0,0,0,0,0,0,0,0,0,0
LOC108350620,0,0,0,0,0,0,0,0,0,0
LOC108350621,0,0,0,0,0,0,0,0,0,0
LOC108350623,0,0,0,0,0,0,0,0,0,0
LOC108350624,0,0,0,0,0,0,0,0,0,0
LOC108350627,0,0,0,0,0,0,0,0,0,0
LOC108350647,0,0,0,0,0,0,0,0,0,0
LOC108350655,0,0,0,0,0,0,0,0,0,0
LOC108350658,0,0,0,0,0,0,0,0,0,0
LOC108350659,0.038749,0,0.017993,0.035352,0.069495,0.269801,0.174413,0.091929,0.138384,0.124999
LOC108350663,0,0,0,0,0,0,0,0,0,0
LOC108350668,0,0,0,0,0,0,0,0,0,0
LOC108350669,0,0,0,0,0,0,0,0,0,0
LOC108350671,0,0,0,0.024295,0,0,0,0,0,0.164031
LOC108350673,0,0,0,0,0,0,0,0,0,0
LOC108350675,0,0,0,0,0,0,0,0,0,0
LOC108350676,0,0,0,0,0,0,0,0,0,0
LOC108350678,0,0,0,0,0,0,0,0,0,0
LOC108350685,0,0,0,0,0,0,0,0,0,0
LOC108350687,0,0,0,0,0,0,0,0,0,0
LOC108350688,0,0,0,0,0,0,0,0,0,0
LOC108350700,0,0,0,0,0,0,0,0,0.201145,0
LOC108350703,0,0,0,0,0,0,0,0.111789,0,0
LOC108350705,0,0.012488,0,0,0,0,0,0,0,0
LOC108350707,0,0,0,0,0,0,0,0,0,0
LOC108350711,0,0,0,0,0,0,0,0,0,0
LOC108350719,0.307464,0,0,0,0,0,0,1.027629,0,0
LOC108350721,0,0,0,0,0,0,0,0.023641,0,0
LOC108350725,0,0,0,0,0,0,0,0,0,0
LOC108350727,0,0.014304,0,0,0,0,0,0,0.022666,0
LOC108350738,0,0,0,0,0,0,0,0,0,0
LOC108350739,0,0,0,0,0,0,0,0,0,0
LOC108350740,0,0,0,0,0,0,0,0,0,0
LOC108350742,0.032205,0,0.044565,0,0,0.062532,0,0,0,0
LOC108350743,0,0,0,0,0,0,0,0,0,0
LOC108350745,0,0,0,0,0,0,0,0,0,0
LOC108350753,0,0,0,0,0,0,0,0,0,0
LOC108350756,0,0,0,0,0,0,0,0,0,0
LOC108350761,0,0,0,0,0,0,0,0,0,0
LOC108350763,0,0,0,0,0,0,0,0,0,0
LOC108350764,0,0,0,0,0,0,0,0,0,0
LOC108350768,0,0,0,0,0,0,0,0,0,0
LOC108350772,0.760743,1.339229,1.169327,0.441006,0.711568,0.740299,1.290149,0.304869,1.656377,0.554969
LOC108350777,0,0,0,0,0,0,0,0,0,0
LOC108350781,0,0,0,0,0,0,0.040079,0,0,0
LOC108350782,0,0,0,0,0,0,0.208784,0,0.117841,0.072816
LOC108350783,0.707684,0,1.260413,0.215285,0.461901,0.549472,0.411218,0,0,0.30626
LOC108350790,0.739831,0,0,0,0,0,0,0.560848,0.509359,0
LOC108350795,0,0,0,0,0,0,0,0,0,0
LOC108350799,0,0,0,0,0,0,0,0,0,0
LOC108350815,0,0,0,0,0,0,0,0,0,0
LOC108350830,0,0,0,0,0,0,0,0,0,0
LOC108350834,2.778507,1.190295,0.928491,0.509812,2.604356,1.695672,1.833095,4.149161,1.970691,2.442447
LOC108350839,0,0,0,0,0,0,0,0,0,0
LOC108350840,0,0,0,0,0,0,0,0,0,0
LOC108350852,0,0.043797,0.108727,0.14603,0.05758,0,0.149169,0.065911,0.069635,0.128023
LOC108350853,0,0,0,0,0,0,0,0,0,0
LOC108350856,0,0,0,0,0,0,0,0,0,0
LOC108350862,0,0,0,0,0,0,0,0,0,0
LOC108350865,0,0,0,0,0,0,0,0,0,0
LOC108350866,0,0,0,0,0,0,0,0,0,0
LOC108350874,0,0,0,0,0,0,0,0,0,0
LOC108350876,0,0,0,0,0,0,0,0,0,0
LOC108350878,0,0,0,0,0,0,0,0,0,0
LOC108350879,0,0,0,0,0,0,0,0,0,0
LOC108350922,0,0,0,0,0,0,0,0,0,0
LOC108350923,0.099562,0,0,0,0,0,0,0,0,0
LOC108350924,0,0,0,0,0,0,0,0,0,0
LOC108350928,0,0,0,0,0,0,0,0,0,0
LOC108350929,0,0,0,0,0,0,0,0.302818,0,0
LOC108350931,0,0,0,0,0,0,0,0,0,0
LOC108350932,0.034873,0.154407,0.063042,0.162549,0.02637,0.165664,0.080373,0.136904,0.143752,0.152667
LOC108350944,0,0,0,0,0,0,0,0,0,0
LOC108350947,0.619578,0.223654,0,0.520407,0.864866,0.115541,1.249885,0.763949,0.814091,0.772728
LOC108350948,0,0,0,0,0,0,0,0,0,0
LOC108350949,0,0,0,0,0,0.038613,0,0,0,0
LOC108350950,0,0,0,0,0,0,0,0,0,0
LOC108350951,0,0,0,0,0,0,0,0,0,0
LOC108350952,0,0,0,0,0,0,0,0,0,0
LOC108350959,0,0,0,0,0,0,0,0,0.013232,0
LOC108350962,0.48478,0.136079,0.304138,0.670693,1.202875,0.979414,1.026132,1.536132,1.682865,0.950812
LOC108350963,0,0,0,0,0,0,0,0,0,0
LOC108350968,0,0,0,0,0,0,0,0,0,0
LOC108350970,0,0,0,0,0,0,0,0,0,0
LOC108350978,0,0,0,0,0,0,0,0,0,0
LOC108350980,0,0,0,0,0,0,0,0,0,0
LOC108350981,0,0,0,0,0,0,0,0,0,0
LOC108350985,0,0,0,0,0,0,0,0,0,0
LOC108350991,0,0,0,0,0,0,0,0,0,0
LOC108350992,0.352852,0,0,0.31332,0.136846,0,0,0,0,0.278182
LOC108350993,0,0,0,0,0,0,0,0,0,0
LOC108350995,0,0,0,0,0,0,0,0,0,0
LOC108350998,0,0,0,0,0,0,0,0,0,0
LOC108351000,0,0,0,0,0,0,0,0,0,0
