"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Usp25",-0.169342844631512,2.61639786048156,-0.772271639018254,0.448906308607789,0.544091072192219,-5.79303755923101
"Mterf2",0.113819106841897,0.640288230010315,0.488244909276072,0.630640808210633,0.709796868282867,-5.79315809054259
"Ndnf",-0.140619421845568,-0.660875745317021,-0.676503562438041,0.506403562140135,0.598518503746262,-5.79353916206929
"Tctn2",-0.14601939947459,1.25696562115594,-0.577039940423701,0.570296048370584,0.657746982623758,-5.79356166835828
"RGD1359290",-0.670693590227704,2.38029224154973,-0.742967648464686,0.466065245558236,0.560496981177704,-5.79365802420926
"Map6",0.119042521538409,0.00649560195729893,0.479719315954357,0.636586554780789,0.714870716514646,-5.79402942568105
"Gon4l",0.142507200587009,1.49863559328585,0.614432839392224,0.54579686786235,0.63546313275223,-5.79411647069284
"Crispld2",0.107362584883641,0.411398695113522,0.463697361765288,0.647828413304082,0.724411624996423,-5.79412910838133
"Exph5",-0.101296784122582,0.719890740590368,-0.492705521952409,0.627540165316046,0.707232093326478,-5.79430015452004
"LOC498154",0.177053013539927,2.99724390027822,0.809251958179112,0.42781156320251,0.523240475960313,-5.79437773821326
"Wfs1",0.202137002512185,1.5694250120073,0.624669081829606,0.539189324370089,0.629211577598242,-5.79448496516997
"Actn4",-0.132664277736709,6.52165641220846,-0.822810720098983,0.420235151901556,0.515657742998903,-5.79462864101267
"Zfp185",-0.177068136330931,-0.757213111019774,-0.726003906836502,0.476175093730373,0.570308871368158,-5.79486314238613
"Tmem138",0.116290751487613,0.510457105053218,0.470857952042255,0.642793264938436,0.720058784112788,-5.79489049834142
"Ppp2r5e",0.149991913442693,1.95793268823075,0.681815265542218,0.503108583826899,0.595202917893656,-5.79507565704265
"LOC108348331",-0.134022944474472,0.0275112984217915,-0.440972923971733,0.663921863980584,0.738526341148679,-5.7952199580648
"Vdac2",-0.138546053095564,6.37869375019153,-0.828620234963883,0.417014990110024,0.512630505432513,-5.79537321763053
"Hotairm1",-0.190055921937583,-0.0282287449395169,-0.440235961841033,0.664446638327265,0.73893007680669,-5.79560405369566
"Pkhd1l1",-0.143551383720514,-0.226887394267753,-0.516770633439737,0.610935053672528,0.693207948191978,-5.79563419372076
"Znf16l-ps1",0.0972590433465386,0.553984250745901,0.473102626216008,0.641218478665869,0.718675940556194,-5.79565933904374
"Drc3",-0.130628792672667,-0.412484476146512,-0.597943941829231,0.556530678787392,0.645480000063048,-5.79568895837624
"Ankrd37",-0.218663007737203,1.52224035802609,-0.615413675622272,0.545161866093886,0.63489046505062,-5.79572138565978
"Gatb",-0.15597630751392,4.74993848725633,-0.882153280164263,0.388083788033827,0.483368477289782,-5.79594286737083
"Uba2",-0.147509178707741,3.64383554276859,-0.859377465318891,0.400228640020247,0.495467100772919,-5.79597752590274
"Pald1",0.156586294444807,5.17977916941347,0.873134879358957,0.392863570711375,0.487964627772378,-5.79598778484923
"Tmem62",0.152015491950889,4.21501052831962,0.878230738539029,0.390158048202516,0.485241696054246,-5.79603234798834
"Tulp4",0.102164449744525,0.587570461158568,0.475899866131511,0.639258460231837,0.717278117437745,-5.79606031105501
"Tbx20",0.116566332536645,0.451729114644609,0.462848608190299,0.648426392508394,0.724913571022261,-5.79610125686996
"Zdhhc9",-0.167474138747336,4.09879400909226,-0.877827694648707,0.39037158992533,0.485418585733237,-5.79611728415339
"Rmdn1",-0.149448061900939,3.76312583614684,-0.865384224900813,0.397001981448252,0.492170816909256,-5.79615093687633
"Cobl",0.135476532897312,1.69504489523633,0.641080534052991,0.528686304547048,0.619732372010548,-5.79623739398317
"Jmjd1c",0.139057834579676,2.02781976566239,0.689863535331216,0.498139346356854,0.590576323332608,-5.79643617037325
"LOC120098750",-0.211321985063496,-0.899893109017822,-0.828659556951145,0.416993247735835,0.512622293423927,-5.79650222189692
"Rimoc1",0.127954787019924,1.73529975368174,0.646732685395266,0.525095127688392,0.616265649703325,-5.79653672636415
"Aldh7a1",0.158712932282526,7.41506021745287,0.777462686889627,0.445907349725619,0.540995677333585,-5.7966216347342
"Syne3",-0.10358711817223,0.24854392149304,-0.438551918760065,0.665646472039122,0.739911556253821,-5.79676043600481
"Zfp972",-0.162246857922136,2.89981984316703,-0.79816095171498,0.434072239329766,0.529467944711822,-5.79711950045579
"Tubb4b",-0.17163169961539,6.60502354208574,-0.815465342644695,0.424329055419101,0.519688188568631,-5.79731474963265
"LOC680039",-0.14161922990949,2.29673923688595,-0.726509482230439,0.475871928032104,0.570034675441525,-5.7974604846141
"Plagl2",-0.10963556688033,0.631345232435317,-0.473895103603585,0.640662917850069,0.718168760782229,-5.79756531665906
"Uxs1",-0.176622130405174,2.52972422882278,-0.755643753101663,0.458595062632191,0.553527834933645,-5.79774931937875
"Ago3",-0.102913160253704,-0.237575642357816,-0.510342980237535,0.615349668869486,0.696955327308865,-5.79779897363612
"Ift81",0.12479390639701,1.12366361527194,0.54865086474999,0.589265832854496,0.674528230706643,-5.79781530251621
"Enpp1",-0.158834604777225,4.59133593389795,-0.88098944850993,0.388698472922849,0.483836487702691,-5.79785159083614
"LOC120096360",-0.130716581883854,-0.223630678162325,-0.51247763911731,0.613881877384986,0.69582547841606,-5.79786604341486
"LOC120093124",-0.144325739861857,1.06758209788598,-0.538209951279173,0.596320555448295,0.680406791743573,-5.79806524372362
"LOC100911266",0.224309878481424,3.0451488939293,0.808596671060092,0.42817988266468,0.52351897279098,-5.79812556275932
"Prdm6",-0.159413722468224,2.46683920129888,-0.747318587467619,0.463493020372476,0.557975361867527,-5.79816154811597
"LOC108351719",-0.173843434998148,-0.830013134443458,-0.764378279515119,0.453489965829418,0.548747688865762,-5.79819725468193
"Tubb2a",0.35011132401225,4.37974304367395,0.875740266860165,0.391478778419686,0.486599786155932,-5.79827175029025
"Brsk1",0.1347942765806,0.378928035928973,0.453415212584839,0.655088929340785,0.730841908724365,-5.79829390800096
"Itm2a",0.126484361278112,0.272139988774735,0.446611347641017,0.659912750767914,0.735146822023344,-5.79840759947242
"Styxl1",0.129366974594744,0.5789841927511,0.47013568956898,0.643300347417631,0.720460825430638,-5.79844375708064
"Tbck",0.106328548595217,0.976317795228793,0.524026382898003,0.60596991488251,0.688876347221302,-5.79848906336633
"Adamtsl2",0.260642623461035,2.15536965151139,0.703455758215618,0.489811239395079,0.58320164153275,-5.79857122608192
"Itgb2",0.179815928224685,2.79642955135094,0.782861536921856,0.442801397590976,0.537879319209483,-5.79862699766487
"Xylb",0.186532332842312,7.26703136510251,0.781877235603086,0.443366671269187,0.53838488664462,-5.79863332577069
"Exoc3l4",-0.144928333844428,0.348865083794491,-0.439932404610859,0.664662846170335,0.739059569607984,-5.79864251609978
"Mex3d",-0.118914295007672,0.927338058113717,-0.514631758397366,0.612402390451,0.694535243024481,-5.79872764922662
"Rapgef3",0.129024732704926,-0.010325883461408,0.481803803258181,0.635130485555926,0.713612325291683,-5.79879122134031
"Rnu6-492",0.316653974810784,1.9041491230124,0.667359074750939,0.512104602704382,0.604102736419567,-5.79886149982468
"Hoxb6",-0.138607147756257,-0.326392770659123,-0.544750445152489,0.591896423282768,0.676560969605566,-5.79891008833973
"LOC120097916",-0.142537035373828,0.0319323353249401,-0.429110728570897,0.672390044460689,0.745555754156415,-5.7989428247653
"Wasf3",0.12504052797634,-0.0355740386175402,0.481394375248361,0.635416362258372,0.713862826734714,-5.79894318341623
"Zfp341",0.152342832877158,1.3599841387873,0.584020052107271,0.565680240471542,0.653564697759391,-5.79913930822504
"Ildr2",-0.129171329044313,-0.36239120705078,-0.573451402498197,0.572676572583316,0.659978141382249,-5.7992151377579
"S100a14",-0.167409933814242,-0.196117179756928,-0.483951986083948,0.633631510189453,0.712351429253389,-5.79944229716535
"Cpe",-0.124244164049332,-0.0898491383892376,-0.449402408853945,0.65793208115,0.733348413239638,-5.79979281765664
"Sfxn3",0.123072844762221,1.11021010283188,0.542456277683173,0.593446401605442,0.677900074922455,-5.79996113402176
"Nav3",-0.100957161851455,-0.154366954043872,-0.475570141978885,0.639489356583585,0.717420336947151,-5.80002691923955
"Man2a2",0.102865832554163,0.873985730163206,0.505000481405165,0.619030427034999,0.700238692914188,-5.80011701836315
"LOC120095682",-0.172820793996922,-0.567330872848772,-0.631424785480052,0.534852212168632,0.62536780760216,-5.80028831992217
"Atf6b",0.149752808084279,4.11149771445296,0.870805006575176,0.394104625436977,0.489291825853503,-5.80032560201081
"Pfkfb3",0.129678495131986,0.268037421246518,0.442489887637165,0.66284222608985,0.737541188176086,-5.8003287072838
"Arhgdib",-0.160378325214417,4.51087890652792,-0.878143634779966,0.390204191263078,0.485255022963489,-5.80034862870554
"Atp5f1a",-0.154347574312889,8.75142190955273,-0.707770495966637,0.48718449253332,0.58071072836617,-5.80042037532478
"Troap",-0.15246841636888,-0.612425179487775,-0.647797611185244,0.524420017994136,0.615643161409141,-5.80045373460614
"Fmo4",0.158383791131247,2.57705844493058,0.755742821082111,0.458536966304666,0.553496971491861,-5.80049755388263
"Vps35",-0.152128191091126,3.96858824731117,-0.868594753215193,0.395284319056876,0.490505943587768,-5.80058180991568
"Adora3",0.133012122876636,1.09363463544138,0.538088835342887,0.596402633545488,0.680477630161491,-5.80086238769871
"LOC120094897",0.181677990263857,-0.361608539226859,0.594585652230848,0.558730336030685,0.647492550807883,-5.80112475824562
"LOC120096357",-0.119407150035953,-0.267429656190074,-0.52020613896938,0.608581703286369,0.691199015205509,-5.80129106908112
"Pttg1ip",0.154459271435895,7.3182235119671,0.775849098999153,0.446838230504418,0.542028454110823,-5.80132044989133
"Mindy4",0.101471949752503,0.221113612705383,0.436516669431865,0.667097760112077,0.741210054116889,-5.80141577035627
"Nynrin",0.112891464879319,-0.202817712006369,0.535890885946956,0.597893105236341,0.681743967556072,-5.80145212882774
"Ankmy1",0.114365974954313,0.132554661812057,0.437969964122235,0.666061312893803,0.740275969010113,-5.80145578839344
"LOC102554202",-0.128302481810754,-0.271318874804382,-0.517046310650655,0.610746052326457,0.693171412441345,-5.80150824872554
"Atp6ap2",0.286722596737666,4.47804261739381,0.873229318491753,0.392813319545437,0.487937826833439,-5.80154709862808
"Rb1",0.143856895264897,1.85799626098312,0.656900962166423,0.518668526700796,0.610533830378545,-5.80171885284772
"Dpy19l3",-0.158209735640768,3.88705677095564,-0.864165392433974,0.397655334809076,0.49285111650941,-5.80177635022116
"Car11",-0.149789484048017,0.187916886899904,-0.422152901805883,0.677378074277153,0.749902964522172,-5.80180723945164
"Hnrnpc",-0.143816345245431,5.7242506456028,-0.849431822465331,0.405608318251797,0.500888008105286,-5.8019017585983
"Pdlim4",-0.128999605854708,0.77774558952708,-0.484760054003589,0.633068068382383,0.711788524589562,-5.80193223241764
"Smim12",-0.147526539328125,5.03042431513363,-0.870278427412587,0.394385471954082,0.489569068551819,-5.80221585621729
"P2ry1",0.153349092816897,2.07659834996727,0.687879835092926,0.499361527264686,0.591695512966136,-5.80229163595757
"LOC102548951",-0.123737375949161,0.270080394330518,-0.425732396977695,0.674810033530928,0.747752968717575,-5.80238455805443
"Hipk1",0.147425638489877,2.51707021607549,0.745908253484238,0.464325860442838,0.558760566236883,-5.80242385711266
"Glcci1",0.151785264338834,1.65751429200272,0.62511950997654,0.538899563896924,0.628953604039591,-5.80246006824665
"Hnrnpl",-0.13320324550824,6.43122173580762,-0.817092300262965,0.423420123223921,0.518799023429561,-5.80256732021219
"Arpc1b",-0.145758150183082,5.60971598319787,-0.852937177960638,0.403706959808288,0.498920173939333,-5.80264075183892
"Esyt2",0.14250318056963,3.33849907935299,0.828714109123742,0.416963085299833,0.512603729413903,-5.80264831663879
"Baiap3",-0.136729486554352,-0.322876667462216,-0.541665966188764,0.593980812093518,0.678351161329847,-5.80272262931488
"Snord49b",0.18015146123641,-0.472034899657609,0.606648928245132,0.550850193425822,0.640100907828394,-5.80282813243207
"Zfp275",0.101954632050343,0.0658354054248633,0.445223658656288,0.660898477214673,0.735905541665823,-5.80295675260279
"Lasp1",0.198065836174576,4.95286006315994,0.869302263398005,0.394906445184187,0.490126393238955,-5.80297731426119
"Synpo",0.146619634397962,1.65700686804554,0.624163170366064,0.539514877373929,0.629455600992229,-5.80298729879256
"Mss51",0.230325115130293,1.03458489292559,0.524787739308525,0.605450043376535,0.688446319076442,-5.80299926721742
"Atg9a",0.155369581740806,4.76911239478115,0.871937760107561,0.39350092241055,0.488631435833358,-5.80306397264594
"LOC102547293",0.186973262875821,-0.5141796464966,0.613713381773856,0.546262901653735,0.635802865664075,-5.80306484013807
"Itgax",0.116783403455806,-0.159814168653483,0.510960783511202,0.614924696641961,0.696669010745379,-5.80306668365486
"Mpnd",-0.17979835574797,6.58224129100311,-0.809180135405379,0.427851923188318,0.523268375513555,-5.80311468464707
"Rragd",-0.171614232677535,0.728361339094774,-0.474286364214461,0.640388707119022,0.717950615840983,-5.80319701256388
"Hexb",-0.194427482870699,5.13974309496309,-0.866638767152857,0.396330213870903,0.491552877041009,-5.80330970893764
"Eno2",0.115074837400195,-0.00231572834465704,0.457648919436894,0.65209508506499,0.728256757877352,-5.80332048551208
"LOC103691765",0.149190488227575,-0.072858626922674,0.507781988322172,0.617112794067821,0.698601978537052,-5.80336842541888
"LOC120096006",0.137939041931291,-0.47794523587056,0.606636286329939,0.550858420678904,0.640100907828394,-5.80341608647796
